X,Y
0.0,1695.56787109375
1.0,1695.56787109375
2.0,1695.56787109375
3.0,1695.56787109375
4.0,1696.1168212890625
5.0,1696.2598876953125
6.0,1697.2818603515625
7.0,1698.1201171875
8.0,1696.3787841796875
9.0,1694.666748046875
10.0,1693.8741455078125
11.0,1693.97021484375
12.0,1691.6419677734375
13.0,1691.9063720703125
14.0,1694.075439453125
15.0,1695.9158935546875
16.0,1696.3642578125
17.0,1696.96875
18.0,1696.802978515625
19.0,1695.11669921875
20.0,1694.6192626953125
21.0,1694.9969482421875
22.0,1694.6314697265625
23.0,1693.9349365234375
24.0,1694.0653076171875
25.0,1694.0301513671875
26.0,1693.4822998046875
27.0,1694.474609375
28.0,1694.5203857421875
29.0,1695.255859375
30.0,1694.961669921875
31.0,1693.4974365234375
32.0,1692.7799072265625
33.0,1691.5523681640625
34.0,1692.3839111328125
35.0,1692.639404296875
36.0,1693.114013671875
37.0,1695.4505615234375
38.0,1696.0439453125
39.0,1696.9677734375
40.0,1696.30712890625
41.0,1696.7008056640625
42.0,1697.38720703125
43.0,1698.0377197265625
44.0,1697.3597412109375
45.0,1698.60400390625
46.0,1697.7900390625
47.0,1696.9814453125
48.0,1696.16845703125
49.0,1696.02294921875
50.0,1695.871826171875
51.0,1696.12939453125
52.0,1696.49853515625
53.0,1696.436279296875
54.0,1696.6253662109375
55.0,1697.042724609375
56.0,1696.53466796875
57.0,1696.35791015625
58.0,1696.2987060546875
59.0,1696.959716796875
60.0,1697.49267578125
61.0,1697.4305419921875
62.0,1698.6993408203125
63.0,1698.3204345703125
64.0,1697.9764404296875
65.0,1698.4906005859375
66.0,1696.8648681640625
67.0,1696.232421875
68.0,1693.501708984375
69.0,1694.8031005859375
70.0,1694.2513427734375
71.0,1693.5933837890625
72.0,1694.952880859375
73.0,1696.37890625
74.0,1696.8758544921875
75.0,1695.59033203125
76.0,1695.5274658203125
77.0,1697.185302734375
78.0,1698.12353515625
79.0,1696.832275390625
80.0,1697.1077880859375
81.0,1696.0623779296875
