laser_image,pixel_x,pixel_y,Xc_mm,Yc_mm,Zc_mm
Laser1.png,1700.0,1430.4315185546875,-4.030480768298555,-2.1732663907967127,98.30795240374417
Laser1.png,1701.0,1430.8212890625,-4.026097943674795,-2.1715545675184167,98.30898479493247
Laser1.png,1702.0,1430.5111083984375,-4.021646258037058,-2.1729194363327475,98.30832721203218
Laser1.png,1703.0,1430.2445068359375,-4.017198936327391,-2.1740925173566685,98.30777497338079
Laser1.png,1704.0,1430.43017578125,-4.012795864809729,-2.1732778760710625,98.30831456139131
Laser1.png,1705.0,1430.1585693359375,-4.0083480990705915,-2.174473026491993,98.30775019935939
Laser1.png,1706.0,1430.1937255859375,-4.00393054891329,-2.1743198146349823,98.30792646877791
Laser1.png,1707.0,1429.9317626953125,-3.9994837976434905,-2.1754726207865884,98.3073853643348
Laser1.png,1708.0,1429.971435546875,-3.995066692205401,-2.175299510834788,98.30757256344795
Laser1.png,1709.0,1430.0125732421875,-3.990649711131384,-2.175120068241424,98.30776324133419
Laser1.png,1710.0,1430.0672607421875,-3.986233672688904,-2.1748811042881213,98.3079866213968
Laser1.png,1711.0,1430.380126953125,-3.9818432249858,-2.1735074324363346,98.30883327295871
Laser1.png,1712.0,1430.4434814453125,-3.9774279668095267,-2.173230288503536,98.3090776261751
Laser1.png,1713.0,1430.5333251953125,-3.9730156349861074,-2.1728368121336614,98.30938587207714
Laser1.png,1714.0,1430.8197021484375,-3.968622065479625,-2.171579436077616,98.31016865516924
Laser1.png,1715.0,1430.8414306640625,-3.9642030250374884,-2.1714853768260505,98.31031243654441
Laser1.png,1716.0,1430.8204345703125,-3.9597798167602427,-2.1715791146687287,98.31035306346682
Laser1.png,1717.0,1430.7552490234375,-3.9553523146250105,-2.1718669818037872,98.31028705744174
Laser1.png,1718.0,1430.630859375,-3.9509194412296296,-2.172415012846261,98.31007813844438
Laser1.png,1719.0,1430.5045166015625,-3.946486029256029,-2.172971725877991,98.30986445775237
Laser1.png,1720.0,1430.3603515625,-3.942050911115377,-2.1736067743253895,98.30960774778154
Laser1.png,1721.0,1430.2703857421875,-3.937621424198567,-2.1740035504989774,98.3094819104598
Laser1.png,1722.0,1430.199951171875,-3.9331934672603177,-2.174314570913525,98.3094031854152
Laser1.png,1723.0,1430.177978515625,-3.9287701957352104,-2.1744124701630607,98.30944152592558
Laser1.png,1724.0,1429.4315185546875,-3.9242778316449316,-2.177694642496897,98.30773075461411
Laser1.png,1725.0,1428.9857177734375,-3.9198141980692993,-2.179655363390569,98.3067458514851
Laser1.png,1726.0,1429.25146484375,-3.9154187059928267,-2.178488711109018,98.30747879931761
Laser1.png,1727.0,1429.5941162109375,-3.9110301674587524,-2.176984096623503,98.30839739670162
Laser1.png,1728.0,1429.6993408203125,-3.906619496882342,-2.176523153619345,98.30874269771518
Laser1.png,1729.0,1429.5780029296875,-3.9021867226480227,-2.1770577787447967,98.30854114654312
Laser1.png,1730.0,1429.7193603515625,-3.89777911194716,-2.176437811628335,98.30897380717207
Laser1.png,1731.0,1429.8018798828125,-3.8933662004383116,-2.1760765485436693,98.3092643559262
Laser1.png,1732.0,1430.1343994140625,-3.888976771054241,-2.1746165709537624,98.3101584327764
Laser1.png,1733.0,1429.8861083984375,-3.8845322250940284,-2.175709156249559,98.30965038874858
Laser1.png,1734.0,1429.6744384765625,-3.8800908459692907,-2.176640897174518,98.30923070279316
Laser1.png,1735.0,1429.9560546875,-3.875696820899491,-2.1754045395056756,98.3100019405368
Laser1.png,1736.0,1429.9163818359375,-3.871271817284548,-2.1755802343063464,98.30999754909853
Laser1.png,1737.0,1429.9683837890625,-3.866855885012391,-2.175353025308971,98.31021446467213
Laser1.png,1738.0,1429.3974609375,-3.8623808449041963,-2.1778637968800165,98.30892740931534
Laser1.png,1739.0,1429.58544921875,-3.857977826163693,-2.1770388542568573,98.30947265937772
Laser1.png,1740.0,1429.5274658203125,-3.85355147575968,-2.1772952358390776,98.3094239385115
Laser1.png,1741.0,1429.4296875,-3.849121371134397,-2.177726380204973,98.30927922017577
Laser1.png,1742.0,1429.3271484375,-3.844690832614678,-2.1781783283215876,98.30912307403631
Laser1.png,1743.0,1429.235107421875,-3.840261294178517,-2.178584323227737,98.30899216979768
Laser1.png,1744.0,1429.107421875,-3.8358284135517167,-2.1791468057044576,98.30877530628743
Laser1.png,1745.0,1428.7933349609375,-3.8313780119776935,-2.1805286261026695,98.30810837751453
Laser1.png,1746.0,1428.7005615234375,-3.826948471224186,-2.1809376891299204,98.30797578662725
Laser1.png,1747.0,1428.39794921875,-3.8224996100455852,-2.182269013276909,98.30733658603035
Laser1.png,1748.0,1428.3212890625,-3.818071625077668,-2.18260733681677,98.3072428517001
Laser1.png,1749.0,1428.0386962890625,-3.813624362341269,-2.1838507215756393,98.30665196240209
Laser1.png,1750.0,1427.7843017578125,-3.8091801565133725,-2.1849701742428222,98.30612914097313
Laser1.png,1751.0,1427.5501708984375,-3.8047375280526476,-2.186000432052909,98.30565532147516
Laser1.png,1752.0,1427.8076171875,-3.800340816717338,-2.18487038193517,98.3063681727033
Laser1.png,1753.0,1427.878173828125,-3.7959266176300774,-2.1845617958900636,98.3066297891274
Laser1.png,1754.0,1427.945556640625,-3.791512103773156,-2.1842669568256152,98.30688385471902
Laser1.png,1755.0,1427.4527587890625,-3.7870458330973293,-2.1864341813811667,98.30578548132434
Laser1.png,1756.0,1428.758544921875,-3.7827456337305043,-2.1806970047076573,98.30902908555382
Laser1.png,1757.0,1428.2327880859375,-3.7782763119789036,-2.183008860432628,98.30785126486836
Laser1.png,1758.0,1427.7158203125,-3.773807906026744,-2.1852823096427736,98.30669453905038
Laser1.png,1759.0,1428.4322509765625,-3.769453042724118,-2.182135140192587,98.30851542797845
Laser1.png,1760.0,1428.5030517578125,-3.7650390537936187,-2.181825454507479,98.30877764455
Laser1.png,1761.0,1428.5360107421875,-3.7606211818648405,-2.18168202316992,98.30894854384059
Laser1.png,1762.0,1429.1746826171875,-3.7562588017648366,-2.1788764642905347,98.31058178926625
Laser1.png,1763.0,1428.4669189453125,-3.7517733222916836,-2.1819883615849798,98.30896448306775
Laser1.png,1764.0,1428.4051513671875,-3.7473467026931995,-2.182261202079661,98.30890671953732
Laser1.png,1765.0,1428.9183349609375,-3.7429729335348734,-2.1800072604994787,98.31023695112215
Laser1.png,1766.0,1428.2255859375,-3.7384890639292627,-2.1830532780032947,98.30865582873973
Laser1.png,1767.0,1428.7310791015625,-3.7341141142697323,-2.1808331836231134,98.30996747745162
Laser1.png,1768.0,1429.20751953125,-3.7297367557627776,-2.17874057603394,98.31120909059898
Laser1.png,1769.0,1429.147216796875,-3.725310545798916,-2.179007092436337,98.31115479519794
Laser1.png,1770.0,1429.1456298828125,-3.720889342205814,-2.1790154415940433,98.31124232270818
Laser1.png,1771.0,1429.076416015625,-3.716462324148213,-2.1793210357565647,98.31116656117905
Laser1.png,1772.0,1429.3221435546875,-3.712064022676562,-2.17824243536906,98.3118511610933
Laser1.png,1773.0,1429.2498779296875,-3.707636340698109,-2.178561420095855,98.311768051946
Laser1.png,1774.0,1429.4749755859375,-3.703236071594523,-2.1775736296270938,98.31240277018182
Laser1.png,1775.0,1429.4251708984375,-3.6988107797262915,-2.1777938345125656,98.31237391536855
Laser1.png,1776.0,1429.0723876953125,-3.694358000294879,-2.179345776269568,98.31161351206842
Laser1.png,1777.0,1429.5689697265625,-3.6899818904346575,-2.1771646444442956,98.31290376532246
Laser1.png,1778.0,1429.2608642578125,-3.685533197613068,-2.178520302957789,98.31225118342068
Laser1.png,1779.0,1429.1805419921875,-3.6811055226172296,-2.1788747483606072,98.31214857965175
Laser1.png,1780.0,1429.1956787109375,-3.676685743955679,-2.1788096446601544,98.31227645811865
Laser1.png,1781.0,1429.18115234375,-3.6722636469469587,-2.17887480196586,98.312332774013
Laser1.png,1782.0,1429.1533203125,-3.667840343556458,-2.178998576900699,98.31235689005155
Laser1.png,1783.0,1429.1644287109375,-3.663420541313847,-2.178951203079404,98.31247502202395
