X,Y
0.0,357.0191955566406
1.0,357.01031494140625
2.0,356.9945068359375
3.0,356.9600524902344
4.0,356.8961181640625
5.0,356.7950744628906
6.0,356.4533996582031
7.0,356.0701599121094
8.0,355.63800048828125
9.0,355.3411865234375
10.0,354.6136779785156
11.0,353.99493408203125
12.0,353.1280822753906
13.0,352.3790283203125
14.0,351.42962646484375
15.0,350.4920654296875
16.0,349.54962158203125
17.0,348.6243896484375
18.0,347.68707275390625
19.0,346.741943359375
20.0,345.5531311035156
21.0,344.0010681152344
22.0,341.2571105957031
23.0,339.123291015625
24.0,337.0572509765625
25.0,335.37335205078125
26.0,333.99212646484375
27.0,333.1180725097656
28.0,332.5728454589844
29.0,332.615478515625
30.0,333.20391845703125
31.0,334.2238464355469
32.0,335.88818359375
33.0,337.77874755859375
34.0,340.1996154785156
35.0,342.5450744628906
36.0,345.08416748046875
37.0,346.19036865234375
38.0,347.09112548828125
39.0,347.7931823730469
40.0,348.6325378417969
41.0,349.2452392578125
42.0,350.04852294921875
43.0,350.61602783203125
44.0,351.3260803222656
45.0,351.6282653808594
46.0,352.153076171875
47.0,352.769775390625
48.0,353.0
49.0,353.2174072265625
50.0,353.5786437988281
51.0,353.94158935546875
52.0,354.29864501953125
53.0,354.418701171875
54.0,354.56390380859375
55.0,354.6566467285156
56.0,354.76885986328125
57.0,355.0402526855469
58.0,355.2933044433594
59.0,355.3297119140625
60.0,355.3830261230469
61.0,355.39251708984375
62.0,355.39263916015625
63.0,355.3666687011719
64.0,355.314453125
65.0,355.25726318359375
66.0,355.01190185546875
67.0,354.95306396484375
68.0,354.666015625
69.0,354.5814208984375
70.0,354.5
71.0,354.40667724609375
72.0,354.2890625
73.0,353.96148681640625
74.0,353.64013671875
75.0,353.5
76.0,353.3565979003906
77.0,353.017333984375
78.0,352.842041015625
79.0,352.50799560546875
80.0,352.1494445800781
81.0,351.972900390625
82.0,351.584716796875
83.0,351.205322265625
84.0,350.9736633300781
85.0,350.7533264160156
86.0,350.100341796875
87.0,349.6111145019531
88.0,349.0744323730469
89.0,348.4930114746094
90.0,347.6932067871094
91.0,347.0400695800781
92.0,346.4154968261719
93.0,345.61322021484375
94.0,345.0139465332031
95.0,344.2050476074219
96.0,343.3476867675781
97.0,342.1987609863281
98.0,341.13134765625
99.0,339.76385498046875
100.0,338.7563781738281
101.0,337.395263671875
102.0,336.45562744140625
103.0,335.4114685058594
104.0,334.6878967285156
105.0,334.1517639160156
106.0,333.81829833984375
107.0,333.6358947753906
108.0,333.94287109375
109.0,334.32879638671875
110.0,334.6277160644531
111.0,335.1104736328125
112.0,335.80670166015625
113.0,336.1037292480469
114.0,336.77838134765625
115.0,337.05413818359375
116.0,337.5023193359375
117.0,337.940185546875
118.0,338.18975830078125
119.0,338.6023864746094
120.0,339.0381774902344
121.0,339.46160888671875
122.0,339.8836669921875
123.0,340.3206787109375
124.0,340.56805419921875
125.0,341.01483154296875
126.0,341.46392822265625
127.0,341.91461181640625
128.0,342.37811279296875
129.0,342.8272399902344
130.0,343.10894775390625
131.0,343.5535888671875
132.0,344.01318359375
133.0,344.4601745605469
134.0,344.89410400390625
135.0,345.34564208984375
136.0,345.5926513671875
137.0,346.03631591796875
138.0,346.47711181640625
139.0,346.913818359375
140.0,347.173583984375
141.0,347.79547119140625
142.0,348.0562744140625
143.0,348.5042724609375
144.0,348.9378967285156
145.0,349.20135498046875
146.0,349.8211669921875
147.0,350.06622314453125
148.0,350.49761962890625
149.0,350.91497802734375
150.0,351.1585998535156
151.0,351.56024169921875
152.0,351.9773864746094
153.0,352.2118225097656
154.0,352.81585693359375
155.0,353.0667419433594
156.0,353.49029541015625
157.0,353.931640625
158.0,354.1941223144531
159.0,354.80731201171875
160.0,355.0630798339844
161.0,355.49786376953125
162.0,355.9189147949219
163.0,356.16595458984375
164.0,356.57427978515625
165.0,357.0036926269531
166.0,357.43914794921875
167.0,357.8709716796875
168.0,358.13525390625
169.0,358.76129150390625
170.0,359.02947998046875
171.0,359.46478271484375
172.0,359.89813232421875
173.0,360.1399230957031
174.0,360.74383544921875
175.0,360.996337890625
176.0,361.2264709472656
177.0,361.8441467285156
178.0,362.0849914550781
179.0,362.7003173828125
180.0,362.95263671875
181.0,363.2073974609375
182.0,363.8466796875
183.0,364.1095275878906
184.0,364.747802734375
185.0,365.0213928222656
186.0,365.2799987792969
187.0,365.89483642578125
188.0,366.129150390625
189.0,366.527099609375
190.0,366.9161682128906
191.0,367.0936279296875
192.0,367.43804931640625
193.0,367.564697265625
194.0,367.67852783203125
195.0,367.75762939453125
196.0,367.98468017578125
197.0,367.9830627441406
198.0,367.7461242675781
199.0,367.65240478515625
200.0,367.5120849609375
201.0,367.14324951171875
202.0,366.90521240234375
203.0,366.247314453125
204.0,365.7250061035156
205.0,365.1263732910156
206.0,364.2816162109375
207.0,363.34130859375
208.0,362.318359375
209.0,361.0165710449219
210.0,360.0276184082031
211.0,358.6003112792969
212.0,357.1388854980469
213.0,355.6738586425781
214.0,354.20806884765625
215.0,352.9267883300781
216.0,351.4660949707031
217.0,350.22412109375
218.0,348.6185607910156
219.0,347.3955993652344
220.0,346.0153503417969
221.0,344.62298583984375
222.0,343.2116394042969
223.0,341.92852783203125
224.0,340.2662658691406
225.0,338.75048828125
226.0,337.4371337890625
227.0,335.781494140625
228.0,334.5163879394531
229.0,332.8964538574219
230.0,331.4715576171875
231.0,330.20648193359375
232.0,328.7538757324219
233.0,327.32904052734375
234.0,326.1233825683594
235.0,325.1727294921875
236.0,324.1855163574219
237.0,323.3466796875
238.0,322.88983154296875
239.0,322.61370849609375
240.0,322.70001220703125
241.0,323.3319396972656
242.0,323.7140197753906
243.0,324.6003723144531
244.0,325.3294372558594
245.0,326.2936096191406
246.0,327.25
247.0,328.1904296875
248.0,328.876708984375
249.0,329.7366943359375
250.0,330.58319091796875
251.0,331.4200439453125
252.0,332.041748046875
253.0,332.80828857421875
254.0,333.1955261230469
255.0,333.70355224609375
256.0,334.3683776855469
257.0,334.6497497558594
258.0,335.0634765625
259.0,335.4776916503906
260.0,335.85772705078125
261.0,336.05572509765625
262.0,336.3870544433594
263.0,336.527099609375
264.0,336.6768798828125
265.0,336.9833679199219
266.0,337.28497314453125
267.0,337.3767395019531
268.0,337.4635925292969
269.0,337.5386962890625
270.0,337.5894775390625
271.0,337.6240539550781
272.0,337.66595458984375
273.0,337.6833801269531
274.0,337.68487548828125
275.0,337.6533203125
276.0,337.6355895996094
277.0,337.61126708984375
278.0,337.54461669921875
279.0,337.47772216796875
280.0,337.4429931640625
281.0,337.3993225097656
282.0,337.3402099609375
283.0,337.25885009765625
284.0,337.17266845703125
285.0,336.67767333984375
286.0,336.5257263183594
287.0,336.3955078125
288.0,336.0413513183594
289.0,335.7054443359375
290.0,335.5
291.0,335.06732177734375
292.0,334.6385192871094
293.0,334.19873046875
294.0,333.9563903808594
295.0,333.5
296.0,333.0411682128906
297.0,332.5648193359375
298.0,332.10089111328125
299.0,331.6054992675781
300.0,331.12689208984375
301.0,330.6048583984375
302.0,330.04486083984375
303.0,329.26751708984375
304.0,328.4210510253906
305.0,327.68212890625
306.0,326.7617492675781
307.0,325.05181884765625
308.0,323.720947265625
309.0,322.3024597167969
310.0,321.31201171875
311.0,320.11865234375
312.0,319.1869201660156
313.0,318.1497802734375
314.0,317.0936279296875
315.0,316.42913818359375
316.0,315.6630554199219
317.0,315.44482421875
318.0,315.4435119628906
319.0,315.4969787597656
320.0,315.8571472167969
321.0,316.05877685546875
322.0,316.46160888671875
323.0,316.6864318847656
324.0,317.1148986816406
325.0,317.53375244140625
326.0,317.9570007324219
327.0,318.3714904785156
328.0,318.60821533203125
329.0,319.2093200683594
330.0,319.4427490234375
331.0,319.6687927246094
332.0,320.24237060546875
333.0,320.4749755859375
334.0,320.69073486328125
335.0,321.26568603515625
336.0,321.4864501953125
337.0,321.8771667480469
338.0,322.0731506347656
339.0,322.4591979980469
340.0,322.6563720703125
341.0,323.02655029296875
342.0,323.4002380371094
343.0,323.60272216796875
344.0,323.98388671875
345.0,324.3599853515625
346.0,324.5767517089844
347.0,324.97021484375
348.0,325.3583984375
349.0,325.5804748535156
350.0,325.9700927734375
351.0,326.1722412109375
352.0,326.58282470703125
353.0,326.9772644042969
354.0,327.36419677734375
355.0,327.5985107421875
356.0,328.00140380859375
357.0,328.41510009765625
358.0,328.652587890625
359.0,329.0665283203125
360.0,329.49053955078125
361.0,329.91424560546875
362.0,330.31878662109375
363.0,330.5457763671875
364.0,330.95538330078125
365.0,331.3492736816406
366.0,331.56121826171875
367.0,331.96258544921875
368.0,332.35162353515625
369.0,332.5677490234375
370.0,332.97247314453125
371.0,333.3744812011719
372.0,333.6102600097656
373.0,334.017578125
374.0,334.4400634765625
375.0,334.6859130859375
376.0,335.2864685058594
377.0,335.5281066894531
378.0,335.9544677734375
379.0,336.36334228515625
380.0,336.6083984375
381.0,337.02935791015625
382.0,337.44940185546875
383.0,337.8832702636719
384.0,338.3209228515625
385.0,338.571044921875
386.0,339.0174560546875
387.0,339.458984375
388.0,339.8897705078125
389.0,340.14825439453125
390.0,340.5633544921875
391.0,340.9969482421875
392.0,341.4163818359375
393.0,341.8299560546875
394.0,342.0777282714844
395.0,342.5152587890625
396.0,342.9418640136719
397.0,343.20867919921875
398.0,343.82769775390625
399.0,344.08880615234375
400.0,344.52960205078125
401.0,344.9583435058594
402.0,345.20550537109375
403.0,345.7962951660156
404.0,346.03009033203125
405.0,346.4410400390625
406.0,346.8140869140625
407.0,347.01409912109375
408.0,347.370361328125
409.0,347.5160827636719
410.0,347.6326904296875
411.0,347.7339172363281
412.0,347.79736328125
413.0,348.01025390625
414.0,348.0048828125
415.0,347.7770080566406
416.0,347.69427490234375
417.0,347.5672607421875
418.0,347.4013977050781
419.0,347.00103759765625
420.0,346.5671081542969
421.0,346.065185546875
422.0,345.5140075683594
423.0,344.7145080566406
424.0,343.84747314453125
425.0,342.8901672363281
426.0,341.8319091796875
427.0,340.49700927734375
428.0,339.0995178222656
429.0,337.64337158203125
430.0,336.304931640625
431.0,334.74273681640625
432.0,333.165283203125
433.0,331.5550537109375
434.0,329.9849548339844
435.0,328.14044189453125
436.0,326.4613342285156
437.0,324.58050537109375
438.0,322.6912841796875
439.0,320.9505920410156
440.0,319.24005126953125
441.0,317.3588562011719
442.0,315.68560791015625
443.0,314.1127624511719
444.0,312.58453369140625
445.0,308.3013610839844
446.0,305.3196105957031
447.0,302.7050476074219
448.0,296.15667724609375
449.0,294.8531799316406
450.0,293.6836853027344
451.0,292.2734680175781
452.0,290.5673522949219
453.0,289.3631896972656
454.0,289.0976257324219
455.0,289.0284423828125
456.0,288.9772644042969
457.0,288.919677734375
458.0,288.8628845214844
459.0,288.61376953125
460.0,288.54815673828125
461.0,288.4841003417969
462.0,288.4237365722656
463.0,288.36163330078125
464.0,288.3054504394531
465.0,288.2495422363281
466.0,288.01239013671875
467.0,287.7664489746094
468.0,287.7200622558594
469.0,287.6770324707031
470.0,287.6240539550781
471.0,287.5707702636719
472.0,287.5164794921875
473.0,287.46734619140625
474.0,287.4011535644531
475.0,287.34442138671875
476.0,287.2878723144531
477.0,287.2213439941406
478.0,286.962646484375
479.0,286.7126159667969
480.0,286.653076171875
481.0,286.5922546386719
482.0,286.5350646972656
483.0,286.4833679199219
484.0,286.43212890625
485.0,286.3856506347656
486.0,286.34246826171875
487.0,286.30377197265625
488.0,286.2620849609375
489.0,286.23583984375
490.0,286.2017517089844
491.0,285.98675537109375
492.0,285.94891357421875
493.0,285.7384948730469
494.0,285.7200622558594
495.0,285.7015380859375
496.0,285.68255615234375
497.0,285.6616516113281
498.0,285.64349365234375
499.0,285.6188659667969
500.0,285.5928039550781
501.0,285.552978515625
502.0,285.51263427734375
503.0,285.47540283203125
504.0,285.43701171875
505.0,285.40130615234375
506.0,285.3739013671875
507.0,285.3600769042969
508.0,285.34942626953125
509.0,285.3310241699219
510.0,285.33612060546875
511.0,285.3284606933594
