X,Y
0.0,2233.3544921875
1.0,2233.390869140625
2.0,2233.452392578125
3.0,2233.4951171875
4.0,2233.622314453125
5.0,2233.539794921875
6.0,2233.67724609375
7.0,2233.814697265625
8.0,2234.2802734375
9.0,2234.404052734375
10.0,2234.699462890625
11.0,2234.95458984375
12.0,2234.958251953125
13.0,2235.13134765625
14.0,2235.113037109375
15.0,2235.306884765625
16.0,2235.2958984375
17.0,2235.307373046875
18.0,2235.368896484375
19.0,2235.446044921875
20.0,2235.484130859375
21.0,2235.7255859375
22.0,2235.75341796875
23.0,2235.48388671875
24.0,2235.470703125
25.0,2235.19189453125
26.0,2235.13330078125
27.0,2235.021484375
28.0,2234.716796875
29.0,2234.402587890625
30.0,2234.348876953125
31.0,2234.27685546875
32.0,2234.213623046875
33.0,2234.2080078125
34.0,2234.454345703125
35.0,2234.167724609375
36.0,2234.463134765625
37.0,2234.484619140625
38.0,2234.55615234375
39.0,2234.62548828125
40.0,2234.71826171875
41.0,2234.77294921875
42.0,2234.84619140625
43.0,2234.88623046875
44.0,2234.90283203125
45.0,2234.966064453125
46.0,2234.93603515625
47.0,2234.96240234375
48.0,2234.47998046875
49.0,2234.4716796875
50.0,2234.448974609375
51.0,2234.48046875
52.0,2234.54541015625
53.0,2234.626708984375
54.0,2234.730224609375
55.0,2235.281982421875
56.0,2235.439453125
57.0,2235.508544921875
58.0,2235.59521484375
59.0,2235.705810546875
60.0,2236.0185546875
61.0,2236.071044921875
62.0,2236.1640625
63.0,2236.191650390625
64.0,2236.20849609375
65.0,2236.389404296875
66.0,2236.33154296875
67.0,2236.27490234375
68.0,2236.205810546875
69.0,2236.3759765625
70.0,2236.31396484375
71.0,2236.327880859375
72.0,2236.3447265625
73.0,2236.5849609375
74.0,2236.60888671875
75.0,2236.61328125
76.0,2236.662109375
77.0,2236.64697265625
78.0,2236.69140625
79.0,2236.66796875
80.0,2236.401611328125
81.0,2236.11328125
82.0,2236.069580078125
83.0,2236.0185546875
84.0,2235.72705078125
85.0,2235.7255859375
86.0,2235.960693359375
87.0,2235.9794921875
88.0,2236.027587890625
89.0,2235.84326171875
90.0,2236.083251953125
91.0,2236.079345703125
92.0,2235.990478515625
93.0,2235.6552734375
94.0,2235.537109375
95.0,2235.404541015625
96.0,2235.25927734375
97.0,2235.12890625
98.0,2234.875
99.0,2234.861572265625
100.0,2234.884765625
101.0,2234.966064453125
102.0,2235.097900390625
103.0,2235.47119140625
104.0,2235.609130859375
105.0,2235.957763671875
106.0,2236.0673828125
107.0,2236.168701171875
108.0,2236.206298828125
109.0,2236.514404296875
110.0,2236.56884765625
111.0,2236.601318359375
112.0,2236.856689453125
113.0,2236.947265625
114.0,2237.052001953125
115.0,2237.0693359375
116.0,2237.084716796875
117.0,2237.04541015625
118.0,2237.00439453125
119.0,2236.7060546875
120.0,2236.624755859375
121.0,2236.50830078125
122.0,2236.161865234375
123.0,2236.03857421875
124.0,2235.724853515625
125.0,2235.7109375
126.0,2235.928466796875
127.0,2235.732421875
128.0,2235.7822265625
129.0,2236.114990234375
130.0,2236.20166015625
131.0,2236.330810546875
132.0,2236.479248046875
133.0,2236.59765625
134.0,2236.747802734375
135.0,2237.086669921875
136.0,2237.128173828125
137.0,2237.41845703125
138.0,2237.3701171875
139.0,2237.325927734375
140.0,2237.279296875
141.0,2237.142822265625
142.0,2237.0673828125
143.0,2236.909912109375
144.0,2236.826171875
145.0,2236.81005859375
146.0,2236.796875
147.0,2236.870849609375
148.0,2236.9091796875
149.0,2236.978759765625
150.0,2237.092529296875
151.0,2236.97900390625
152.0,2237.0302734375
153.0,2237.12353515625
154.0,2237.159912109375
155.0,2237.174072265625
156.0,2237.2138671875
157.0,2237.216064453125
158.0,2237.19970703125
159.0,2237.179443359375
160.0,2237.1513671875
161.0,2237.073486328125
162.0,2237.3505859375
163.0,2237.3291015625
164.0,2237.389892578125
165.0,2237.6689453125
166.0,2237.752685546875
167.0,2237.861572265625
168.0,2237.9140625
169.0,2238.02099609375
170.0,2238.107177734375
171.0,2238.458740234375
172.0,2238.303955078125
