X,Y
0.0,2341.70703125
1.0,2341.532470703125
2.0,2341.188232421875
3.0,2340.69873046875
4.0,2339.99560546875
5.0,2339.109375
6.0,2338.315185546875
7.0,2337.43994140625
8.0,2336.846435546875
9.0,2336.38232421875
10.0,2336.205078125
11.0,2336.2275390625
12.0,2336.458740234375
13.0,2336.757080078125
14.0,2337.193359375
15.0,2337.545166015625
16.0,2337.97021484375
17.0,2338.46875
18.0,2338.70751953125
19.0,2339.034912109375
20.0,2339.242431640625
21.0,2339.329833984375
22.0,2339.142822265625
23.0,2338.87744140625
24.0,2338.562744140625
25.0,2338.048095703125
26.0,2337.567138671875
27.0,2336.65185546875
28.0,2336.110107421875
29.0,2335.37744140625
30.0,2334.91064453125
31.0,2334.854736328125
32.0,2334.7861328125
33.0,2334.739501953125
34.0,2334.81640625
35.0,2335.14404296875
36.0,2335.56787109375
37.0,2336.129150390625
38.0,2336.728515625
39.0,2337.53515625
40.0,2338.093505859375
41.0,2338.65966796875
42.0,2339.162109375
43.0,2339.545654296875
44.0,2339.527587890625
45.0,2339.441162109375
46.0,2339.094970703125
47.0,2338.703857421875
48.0,2338.0927734375
49.0,2337.510498046875
50.0,2336.8564453125
51.0,2336.17529296875
52.0,2335.707275390625
53.0,2335.13720703125
54.0,2334.68115234375
55.0,2334.59716796875
56.0,2334.714111328125
57.0,2334.876708984375
58.0,2335.20361328125
59.0,2335.481201171875
60.0,2336.05712890625
61.0,2336.202392578125
62.0,2336.398193359375
63.0,2336.6396484375
64.0,2336.849853515625
65.0,2336.934814453125
66.0,2337.0927734375
67.0,2337.21142578125
68.0,2337.274658203125
69.0,2337.4013671875
70.0,2337.38427734375
71.0,2337.470703125
72.0,2337.81298828125
73.0,2338.2099609375
74.0,2338.582763671875
75.0,2339.009521484375
76.0,2339.3369140625
77.0,2339.449462890625
78.0,2339.29931640625
79.0,2339.05615234375
80.0,2338.633056640625
81.0,2337.922607421875
82.0,2337.240966796875
83.0,2336.509033203125
84.0,2336.041748046875
85.0,2335.54296875
86.0,2335.4404296875
87.0,2335.43798828125
88.0,2335.492431640625
