X,Y
2634.0,2482.39111328125
2635.0,2483.246337890625
2636.0,2482.11962890625
2637.0,2482.0712890625
2638.0,2481.7978515625
2639.0,2481.655517578125
2640.0,2481.08447265625
2641.0,2481.369140625
2642.0,2481.2158203125
2643.0,2472.89013671875
2644.0,2472.674560546875
2645.0,2472.324462890625
2646.0,2465.993408203125
2647.0,2466.0634765625
2648.0,2464.84619140625
2649.0,2462.482177734375
2650.0,2462.720703125
2651.0,2462.426025390625
2652.0,2462.251220703125
2653.0,2462.283203125
2654.0,2462.44384765625
2655.0,2461.590576171875
2656.0,2461.887939453125
2657.0,2461.677490234375
2658.0,2461.17041015625
2659.0,2460.78076171875
2660.0,2618.039306640625
2661.0,2618.16015625
2662.0,2618.0146484375
2663.0,2617.99267578125
2664.0,2617.9365234375
2665.0,2617.90966796875
2666.0,2617.90966796875
2667.0,2618.1630859375
2668.0,2618.22314453125
2669.0,2618.560546875
2670.0,2460.781005859375
2671.0,2460.552978515625
2672.0,2460.529296875
2673.0,2460.656005859375
2674.0,2460.898681640625
2675.0,2461.707763671875
2676.0,2461.5869140625
2677.0,2461.544677734375
2678.0,2461.26025390625
2679.0,2461.229248046875
2680.0,2460.84033203125
2681.0,2460.383056640625
2682.0,2460.0
2683.0,2460.229736328125
2684.0,2459.1640625
2685.0,2458.7060546875
2686.0,2458.52490234375
2687.0,2458.364501953125
2688.0,2456.99169921875
2689.0,2456.037841796875
2690.0,2455.49169921875
2691.0,2454.6484375
2692.0,2453.5263671875
2693.0,2452.812744140625
2694.0,2450.520263671875
2695.0,2449.194580078125
2696.0,2446.94189453125
2697.0,2446.135986328125
2698.0,2445.26220703125
2699.0,2445.0087890625
2700.0,2444.258544921875
2701.0,2442.96240234375
2702.0,2441.45556640625
2703.0,2440.10107421875
2704.0,2440.09228515625
2705.0,2439.4482421875
2706.0,2438.67626953125
2707.0,2438.22216796875
2708.0,2437.337890625
2709.0,2436.70458984375
2710.0,2435.45654296875
2711.0,2434.703857421875
2712.0,2433.9814453125
2713.0,2437.494140625
2714.0,2435.96044921875
2715.0,2435.175537109375
2716.0,2434.9248046875
2717.0,2434.765380859375
2718.0,2434.344482421875
2719.0,2434.5283203125
2720.0,2428.4228515625
2721.0,2427.83837890625
2722.0,2427.65966796875
2723.0,2427.0810546875
2724.0,2426.69677734375
2725.0,2425.996337890625
